Timestamp,Machine_ID,Operator_ID,Engine_Hours,Fuel_Used_L,Load_Cycles,Idling_Time_min,Seatbelt_Status,Proximity_Hazard,Safety_Alert_Triggered,Working_Condition,Incident_Logged,Unsafe_Operation,Task_Type,Weather,Operator_Skill,Machine_Age_yrs,Estimated_Time_min,Actual_Time_min
2025-05-01 13:30:00,LOD002,OP1003,2652.5,6.68,13,16.7,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,6,60.7,61.8
2025-05-01 14:00:00,LOD001,OP1002,3024.7,9.78,20,61.9,Fastened,No,No,Dusty,No,No,Material Loading,Windy,Intermediate,4,32.8,44.6
2025-05-01 14:30:00,EXC002,OP1004,2142.7,5.54,7,28.9,Fastened,Yes,Yes,Low Visibility,Yes,Yes,Trenching,Cloudy,Beginner,4,57.5,60.7
2025-05-01 15:00:00,EXC002,OP1008,2143.5,6.6,11,38.7,Fastened,No,No,Normal,No,No,Earth Excavation,Windy,Intermediate,4,65.9,75.7
2025-05-01 15:30:00,EXC002,OP1001,2144.6,5.99,11,17.8,Fastened,Yes,Yes,Normal,No,Yes,Trenching,Sunny,Intermediate,4,46.9,52.2
2025-05-01 16:00:00,EXC002,OP1001,2146.4,4.68,5,29.3,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Intermediate,4,34.7,39.8
2025-05-01 16:30:00,EXC004,OP1005,1347.7,6.99,14,26.4,Fastened,No,No,Normal,No,No,Material Loading,Windy,Intermediate,5,34.5,45.5
2025-05-01 17:00:00,EXC003,OP1005,1878.9,6.06,13,14.5,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Expert,3,55.9,57.3
2025-05-01 17:30:00,EXC002,OP1001,2147.3,6.67,12,26.2,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Expert,4,30.4,27.9
2025-05-01 18:00:00,EXC005,OP1006,4217.3,4.76,6,19.6,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,7,66.7,71.7
2025-05-01 18:30:00,EXC001,OP1001,1531.4,5.98,11,31.0,Fastened,No,No,Dusty,No,No,Material Loading,Windy,Expert,2,25.4,32.8
2025-05-01 19:00:00,EXC002,OP1005,2147.8,4.68,5,34.9,Fastened,No,No,Low Visibility,No,No,Earth Excavation,Cloudy,Intermediate,4,67.7,67.0
2025-05-01 19:30:00,EXC003,OP1009,1879.3,8.53,17,17.3,Fastened,No,No,Low Visibility,No,No,Material Loading,Cloudy,Intermediate,3,32.8,35.1
2025-05-01 20:00:00,EXC004,OP1005,1349.0,7.59,12,57.8,Fastened,No,Yes,Reduced Visibility,No,No,Earth Excavation,Rainy,Expert,5,67.0,81.1
2025-05-01 20:30:00,LOD001,OP1006,3025.4,5.36,10,30.9,Fastened,No,No,Dry Ground,No,No,Demolition,Sunny,Expert,4,79.3,85.8
2025-05-01 21:00:00,EXC002,OP1008,2148.6,6.04,8,36.3,Fastened,No,No,Slippery,No,No,Trenching,Rainy,Expert,4,48.3,63.5
2025-05-01 21:30:00,EXC004,OP1001,1351.2,9.28,17,39.7,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,5,67.6,71.3
2025-05-01 22:00:00,EXC005,OP1002,4217.7,6.17,9,32.4,Fastened,No,Yes,Reduced Visibility,No,No,Earth Excavation,Rainy,Beginner,7,84.5,99.9
2025-05-01 22:30:00,EXC001,OP1009,1533.3,4.4,6,19.3,Unfastened,No,Yes,Normal,No,Yes,Demolition,Sunny,Intermediate,2,92.2,95.1
2025-05-01 23:00:00,EXC005,OP1003,4218.5,6.92,16,2.0,Fastened,No,No,Normal,No,No,Material Loading,Sunny,Intermediate,7,28.7,32.4
2025-05-01 23:30:00,EXC002,OP1006,2150.5,5.03,8,27.7,Fastened,No,No,Low Visibility,No,No,Grading,Cloudy,Intermediate,4,33.2,33.8
2025-05-02 00:00:00,EXC001,OP1005,1535.1,5.27,8,35.1,Fastened,No,No,Normal,No,No,Demolition,Sunny,Expert,2,83.3,87.9
2025-05-02 00:30:00,LOD002,OP1002,2652.7,4.8,6,36.8,Fastened,No,No,Normal,No,No,Demolition,Cloudy,Intermediate,6,96.2,92.7
2025-05-02 01:00:00,LOD002,OP1007,2654.1,5.26,9,13.6,Fastened,No,No,Normal,No,No,Grading,Sunny,Intermediate,6,35.4,39.8
2025-05-02 01:30:00,LOD001,OP1004,3026.0,5.91,11,10.8,Fastened,No,No,Dry Ground,No,No,Earth Excavation,Sunny,Intermediate,4,62.6,60.5
2025-05-02 02:00:00,EXC002,OP1001,2152.7,5.78,11,16.8,Fastened,No,No,Low Visibility,No,No,Grading,Cloudy,Intermediate,4,39.6,40.2
2025-05-02 02:30:00,EXC001,OP1004,1537.3,6.71,11,28.6,Fastened,No,No,Low Visibility,No,No,Earth Excavation,Cloudy,Beginner,2,74.1,77.1
2025-05-02 03:00:00,EXC005,OP1006,4219.7,5.22,7,26.4,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Expert,7,34.0,42.0
2025-05-02 03:30:00,EXC003,OP1007,1880.5,5.91,10,21.0,Fastened,No,No,Normal,No,No,Grading,Cloudy,Intermediate,3,39.8,44.2
2025-05-02 04:00:00,EXC001,OP1007,1538.2,5.51,8,33.3,Fastened,No,No,Normal,No,No,Grading,Sunny,Beginner,2,44.2,46.8
2025-05-02 04:30:00,EXC004,OP1007,1353.1,7.01,12,35.5,Fastened,No,No,Normal,No,No,Material Loading,Sunny,Expert,5,28.0,29.9
2025-05-02 05:00:00,EXC001,OP1003,1539.2,6.06,10,36.3,Fastened,No,No,Normal,No,No,Material Loading,Sunny,Expert,2,32.5,37.8
2025-05-02 05:30:00,LOD002,OP1006,2654.9,6.52,9,43.0,Fastened,No,No,Normal,Yes,No,Demolition,Windy,Expert,6,89.5,99.4
2025-05-02 06:00:00,EXC002,OP1008,2153.9,7.29,13,25.0,Fastened,No,No,Low Visibility,No,No,Earth Excavation,Cloudy,Expert,4,53.2,48.4
2025-05-02 06:30:00,EXC005,OP1004,4220.1,5.28,11,7.5,Fastened,No,No,Normal,No,No,Trenching,Sunny,Intermediate,7,52.3,51.2
2025-05-02 07:00:00,EXC003,OP1008,1882.4,6.9,15,23.7,Fastened,No,No,Low Visibility,No,No,Material Loading,Cloudy,Expert,3,26.5,36.7
2025-05-02 07:30:00,EXC004,OP1002,1353.3,6.23,9,55.5,Fastened,Yes,Yes,Slippery,No,Yes,Demolition,Rainy,Beginner,5,117.0,137.6
2025-05-02 08:00:00,EXC004,OP1010,1355.0,5.88,9,49.7,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Expert,5,55.7,59.8
2025-05-02 08:30:00,EXC002,OP1009,2154.5,4.98,7,36.8,Fastened,No,Yes,Reduced Visibility,No,No,Earth Excavation,Rainy,Intermediate,4,75.4,97.3
2025-05-02 09:00:00,LOD002,OP1009,2655.6,5.96,10,28.1,Fastened,No,No,Dry Ground,No,No,Earth Excavation,Sunny,Beginner,6,72.2,70.5
2025-05-02 09:30:00,LOD001,OP1008,3027.6,6.6,11,43.4,Fastened,No,No,Wet Ground,No,No,Earth Excavation,Rainy,Intermediate,4,66.4,83.5
2025-05-02 10:00:00,LOD002,OP1010,2658.1,4.21,7,10.9,Fastened,No,No,Normal,No,No,Demolition,Cloudy,Intermediate,6,97.4,89.8
2025-05-02 10:30:00,LOD002,OP1010,2660.1,7.0,13,30.6,Fastened,No,No,Normal,No,No,Grading,Sunny,Intermediate,6,36.5,44.8
2025-05-02 11:00:00,EXC005,OP1001,4220.8,8.39,15,32.1,Fastened,No,No,Normal,No,No,Material Loading,Sunny,Beginner,7,35.9,39.7
2025-05-02 11:30:00,LOD002,OP1002,2660.7,9.3,20,30.9,Fastened,No,No,Normal,No,No,Material Loading,Windy,Expert,6,28.8,37.9
2025-05-02 12:00:00,EXC001,OP1006,1541.4,6.23,10,35.3,Fastened,Yes,Yes,Wet Ground,No,Yes,Grading,Rainy,Beginner,2,45.2,69.1
2025-05-02 12:30:00,EXC002,OP1010,2155.7,6.29,12,15.7,Fastened,No,No,Normal,No,No,Earth Excavation,Cloudy,Intermediate,4,66.5,65.8
2025-05-02 13:00:00,EXC001,OP1005,1542.0,4.98,8,17.5,Fastened,No,No,Dry Ground,No,No,Trenching,Sunny,Expert,2,39.6,41.0
2025-05-02 13:30:00,EXC003,OP1009,1884.6,7.72,15,38.1,Fastened,Yes,Yes,Dry Ground,No,Yes,Material Loading,Sunny,Intermediate,3,31.4,37.1
2025-05-02 14:00:00,EXC003,OP1005,1886.7,6.55,12,17.6,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,3,62.3,67.4
2025-05-02 14:30:00,EXC002,OP1002,2158.2,3.32,4,9.9,Fastened,No,No,Normal,No,No,Trenching,Sunny,Beginner,4,52.0,58.4
2025-05-02 15:00:00,LOD001,OP1010,3029.9,5.84,10,20.2,Fastened,No,No,Normal,No,No,Trenching,Cloudy,Intermediate,4,45.9,46.9
2025-05-02 15:30:00,EXC003,OP1004,1888.8,8.35,18,31.4,Fastened,No,Yes,Strong Wind,No,No,Earth Excavation,Windy,Expert,3,60.3,71.9
2025-05-02 16:00:00,EXC002,OP1009,2158.5,6.11,9,36.6,Unfastened,No,Yes,Low Visibility,No,Yes,Earth Excavation,Cloudy,Expert,4,52.9,64.0
2025-05-02 16:30:00,EXC004,OP1001,1355.4,5.32,9,27.0,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Expert,5,39.1,37.5
2025-05-02 17:00:00,EXC001,OP1001,1543.5,5.22,8,19.6,Fastened,No,No,Low Visibility,No,No,Earth Excavation,Cloudy,Beginner,2,70.8,71.8
2025-05-02 17:30:00,LOD001,OP1007,3031.3,5.32,8,24.2,Fastened,No,No,Dusty,No,No,Demolition,Windy,Intermediate,4,99.9,111.5
2025-05-02 18:00:00,EXC001,OP1003,1544.7,6.19,13,21.4,Fastened,No,Yes,Reduced Visibility,Yes,No,Earth Excavation,Rainy,Intermediate,2,72.6,78.5
2025-05-02 18:30:00,LOD002,OP1010,2661.8,5.44,6,27.5,Fastened,No,No,Low Visibility,No,No,Grading,Cloudy,Intermediate,6,37.7,39.7
2025-05-02 19:00:00,LOD001,OP1002,3032.5,3.89,3,26.0,Fastened,No,Yes,Strong Wind,No,No,Demolition,Windy,Intermediate,4,99.8,102.9
2025-05-02 19:30:00,EXC002,OP1009,2160.0,2.65,1,25.2,Fastened,No,No,Slippery,No,No,Demolition,Rainy,Intermediate,4,103.6,115.1
2025-05-02 20:00:00,EXC001,OP1003,1544.9,5.92,10,28.9,Fastened,No,No,Dry Ground,Yes,No,Demolition,Sunny,Intermediate,2,92.1,89.1
2025-05-02 20:30:00,LOD001,OP1002,3033.3,4.43,5,52.8,Fastened,No,No,Dry Ground,No,No,Trenching,Sunny,Intermediate,4,45.2,50.3
2025-05-02 21:00:00,EXC005,OP1008,4222.2,5.01,7,43.1,Fastened,Yes,Yes,Normal,No,Yes,Trenching,Windy,Intermediate,7,58.2,74.0
2025-05-02 21:30:00,LOD001,OP1010,3035.2,5.26,7,21.0,Fastened,No,No,Normal,No,No,Trenching,Cloudy,Expert,4,42.8,47.2
2025-05-02 22:00:00,LOD001,OP1006,3035.8,6.59,14,18.1,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,4,55.6,64.1
2025-05-02 22:30:00,EXC001,OP1006,1546.4,6.52,13,5.9,Fastened,No,No,Low Visibility,No,No,Earth Excavation,Cloudy,Expert,2,59.6,58.8
2025-05-02 23:00:00,EXC003,OP1010,1890.7,5.48,8,19.9,Fastened,Yes,Yes,Normal,Yes,Yes,Demolition,Cloudy,Expert,3,82.9,94.0
2025-05-02 23:30:00,EXC001,OP1007,1547.6,6.56,12,44.8,Unfastened,No,Yes,Strong Wind,No,Yes,Material Loading,Windy,Intermediate,2,33.4,51.6
2025-05-03 00:00:00,LOD002,OP1007,2662.1,9.45,16,55.3,Unfastened,No,Yes,Normal,No,Yes,Material Loading,Sunny,Beginner,6,40.8,56.2
2025-05-03 00:30:00,EXC005,OP1006,4223.4,5.77,9,22.7,Fastened,No,No,Normal,Yes,No,Demolition,Cloudy,Beginner,7,113.1,120.9
2025-05-03 01:00:00,EXC003,OP1004,1891.6,8.36,16,48.4,Fastened,No,No,Wet Ground,No,No,Material Loading,Rainy,Intermediate,3,34.9,46.0
2025-05-03 01:30:00,EXC001,OP1009,1549.9,4.57,6,42.2,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Intermediate,2,38.5,43.4
2025-05-03 02:00:00,EXC003,OP1006,1892.0,4.24,7,13.2,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Expert,3,36.7,38.7
2025-05-03 02:30:00,EXC003,OP1004,1893.7,7.5,16,45.4,Fastened,No,No,Dusty,No,No,Earth Excavation,Windy,Expert,3,59.7,69.5
2025-05-03 03:00:00,LOD001,OP1003,3036.1,6.36,12,28.4,Fastened,No,No,Low Visibility,No,No,Trenching,Cloudy,Beginner,4,61.5,62.1
2025-05-03 03:30:00,EXC005,OP1004,4224.7,5.15,6,21.2,Fastened,No,No,Low Visibility,No,No,Demolition,Cloudy,Expert,7,84.1,90.2
2025-05-03 04:00:00,LOD002,OP1003,2663.6,4.12,6,13.6,Fastened,No,No,Low Visibility,No,No,Demolition,Cloudy,Intermediate,6,95.6,97.9
2025-05-03 04:30:00,EXC004,OP1002,1356.3,4.64,7,22.9,Fastened,No,No,Normal,No,No,Demolition,Sunny,Expert,5,83.6,87.9
2025-05-03 05:00:00,EXC001,OP1005,1551.2,5.29,9,36.7,Fastened,No,Yes,Strong Wind,No,No,Trenching,Windy,Intermediate,2,52.7,68.5
2025-05-03 05:30:00,LOD001,OP1002,3036.7,3.45,3,35.4,Unfastened,No,Yes,Dry Ground,No,Yes,Demolition,Sunny,Beginner,4,108.3,118.9
2025-05-03 06:00:00,LOD001,OP1006,3037.6,6.43,12,8.1,Fastened,No,No,Dry Ground,No,No,Earth Excavation,Sunny,Intermediate,4,60.4,57.3
2025-05-03 06:30:00,EXC004,OP1003,1357.9,5.53,9,37.0,Fastened,No,No,Dry Ground,No,No,Earth Excavation,Sunny,Expert,5,53.3,51.6
2025-05-03 07:00:00,LOD001,OP1006,3038.5,5.21,7,37.4,Fastened,Yes,Yes,Dry Ground,No,Yes,Trenching,Sunny,Intermediate,4,42.3,49.6
2025-05-03 07:30:00,EXC004,OP1010,1360.2,6.93,12,42.5,Unfastened,No,Yes,Wet Ground,No,Yes,Material Loading,Rainy,Intermediate,5,37.8,58.4
2025-05-03 08:00:00,EXC004,OP1009,1361.8,6.76,10,43.0,Fastened,No,No,Wet Ground,No,No,Earth Excavation,Rainy,Expert,5,64.0,79.1
2025-05-03 08:30:00,EXC003,OP1001,1895.0,5.23,8,38.0,Fastened,No,No,Dusty,No,No,Trenching,Windy,Expert,3,48.1,57.1
2025-05-03 09:00:00,EXC001,OP1006,1551.5,5.47,10,19.1,Fastened,No,No,Dry Ground,No,No,Earth Excavation,Sunny,Beginner,2,66.1,68.1
2025-05-03 09:30:00,EXC001,OP1009,1552.8,6.23,12,33.1,Fastened,No,No,Slippery,No,No,Material Loading,Rainy,Expert,2,33.0,34.7
2025-05-03 10:00:00,EXC001,OP1004,1554.8,6.74,13,34.6,Unfastened,No,Yes,Low Visibility,No,Yes,Grading,Cloudy,Intermediate,2,36.6,34.6
2025-05-03 10:30:00,EXC005,OP1002,4225.5,7.03,12,48.5,Fastened,No,No,Wet Ground,No,No,Material Loading,Rainy,Intermediate,7,35.1,43.9
2025-05-03 11:00:00,EXC003,OP1004,1897.0,4.82,6,37.7,Fastened,Yes,Yes,Wet Ground,Yes,Yes,Earth Excavation,Rainy,Intermediate,3,69.4,94.8
2025-05-03 11:30:00,EXC004,OP1001,1362.6,8.33,16,19.8,Fastened,No,No,Normal,No,No,Material Loading,Sunny,Intermediate,5,31.8,41.9
2025-05-03 12:00:00,LOD002,OP1003,2665.7,5.53,9,20.1,Unfastened,No,Yes,Normal,No,Yes,Grading,Sunny,Intermediate,6,37.0,48.3
2025-05-03 12:30:00,EXC002,OP1010,2160.4,7.44,14,18.8,Fastened,No,No,Dry Ground,No,No,Material Loading,Sunny,Intermediate,4,28.5,25.6
2025-05-03 13:00:00,EXC003,OP1009,1899.2,5.3,8,16.1,Fastened,No,No,Normal,No,No,Trenching,Cloudy,Intermediate,3,49.3,57.7
2025-05-03 13:30:00,LOD001,OP1010,3039.8,8.55,18,29.1,Fastened,No,Yes,Strong Wind,Yes,No,Material Loading,Windy,Expert,4,33.9,52.5
2025-05-03 14:00:00,EXC002,OP1005,2161.3,6.66,11,29.1,Fastened,No,No,Dry Ground,No,No,Demolition,Sunny,Expert,4,83.5,89.3
2025-05-03 14:30:00,EXC001,OP1006,1555.6,6.4,12,21.5,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,2,62.9,71.4
2025-05-03 15:00:00,EXC002,OP1003,2162.5,4.36,5,47.1,Fastened,No,No,Normal,No,No,Trenching,Sunny,Beginner,4,53.3,58.3
2025-05-03 15:30:00,EXC002,OP1005,2165.0,5.72,8,43.9,Fastened,No,No,Wet Ground,No,No,Trenching,Rainy,Intermediate,4,61.1,73.9
2025-05-03 16:00:00,LOD002,OP1008,2666.4,8.08,16,26.9,Fastened,No,No,Dry Ground,No,No,Material Loading,Sunny,Expert,6,28.7,31.2
2025-05-03 16:30:00,LOD001,OP1006,3040.3,8.04,14,34.4,Fastened,No,No,Dry Ground,No,No,Earth Excavation,Sunny,Intermediate,4,64.5,60.7
2025-05-03 17:00:00,EXC005,OP1004,4227.0,6.23,12,17.2,Fastened,No,No,Dry Ground,No,No,Earth Excavation,Sunny,Intermediate,7,67.7,79.3
2025-05-03 17:30:00,LOD002,OP1002,2667.7,5.42,6,44.8,Fastened,Yes,Yes,Low Visibility,No,Yes,Trenching,Cloudy,Intermediate,6,47.2,58.0
2025-05-03 18:00:00,LOD001,OP1009,3041.7,3.64,4,28.3,Fastened,Yes,Yes,Normal,No,Yes,Demolition,Cloudy,Intermediate,4,98.5,93.0
2025-05-03 18:30:00,EXC002,OP1001,2166.7,6.23,9,29.3,Fastened,No,No,Slippery,No,No,Grading,Rainy,Intermediate,4,44.4,54.2
2025-05-03 19:00:00,LOD002,OP1001,2668.5,6.6,11,17.4,Fastened,No,No,Dry Ground,No,No,Material Loading,Sunny,Expert,6,29.9,33.4
2025-05-03 19:30:00,EXC004,OP1004,1364.9,5.17,10,9.6,Fastened,No,No,Low Visibility,No,No,Grading,Cloudy,Intermediate,5,40.1,38.9
2025-05-03 20:00:00,LOD001,OP1007,3042.9,6.68,12,6.0,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,4,60.5,64.8
2025-05-03 20:30:00,LOD002,OP1001,2669.0,5.47,7,25.5,Fastened,No,No,Normal,No,No,Demolition,Sunny,Intermediate,6,101.8,101.0
2025-05-03 21:00:00,EXC003,OP1009,1901.1,8.44,16,34.8,Fastened,No,No,Normal,No,No,Material Loading,Cloudy,Expert,3,21.4,23.5
2025-05-03 21:30:00,EXC001,OP1004,1557.3,6.06,11,2.0,Fastened,No,No,Normal,No,No,Trenching,Sunny,Intermediate,2,43.4,46.5
2025-05-03 22:00:00,EXC002,OP1003,2167.7,5.8,9,17.7,Fastened,No,No,Low Visibility,No,No,Grading,Cloudy,Intermediate,4,33.5,34.1
2025-05-03 22:30:00,EXC003,OP1001,1902.7,5.49,10,15.8,Fastened,No,No,Normal,No,No,Grading,Sunny,Intermediate,3,41.2,41.8
2025-05-03 23:00:00,LOD001,OP1010,3043.6,6.23,9,29.6,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Expert,4,32.4,33.4
2025-05-03 23:30:00,LOD002,OP1004,2670.2,6.8,13,29.3,Fastened,Yes,Yes,Reduced Visibility,No,Yes,Earth Excavation,Rainy,Intermediate,6,70.3,86.9
2025-05-04 00:00:00,EXC001,OP1009,1559.5,4.23,6,25.5,Fastened,Yes,Yes,Low Visibility,No,Yes,Demolition,Cloudy,Intermediate,2,92.7,93.0
2025-05-04 00:30:00,EXC004,OP1010,1365.4,5.26,9,15.5,Fastened,No,No,Wet Ground,No,No,Demolition,Rainy,Expert,5,93.2,100.3
2025-05-04 01:00:00,EXC003,OP1006,1903.8,6.35,10,41.1,Fastened,No,No,Wet Ground,No,No,Trenching,Rainy,Expert,3,49.9,74.2
2025-05-04 01:30:00,EXC002,OP1006,2169.8,6.36,12,30.3,Fastened,No,No,Normal,No,No,Earth Excavation,Cloudy,Intermediate,4,66.5,67.0
2025-05-04 02:00:00,EXC001,OP1001,1562.0,6.3,11,50.3,Fastened,Yes,Yes,Reduced Visibility,No,Yes,Earth Excavation,Rainy,Expert,2,64.3,81.6
2025-05-04 02:30:00,EXC003,OP1010,1905.1,4.23,6,24.9,Fastened,No,No,Low Visibility,No,No,Demolition,Cloudy,Intermediate,3,93.3,98.6
2025-05-04 03:00:00,LOD002,OP1002,2671.6,7.93,16,28.8,Fastened,No,No,Normal,No,No,Material Loading,Sunny,Intermediate,6,36.4,39.4
2025-05-04 03:30:00,EXC003,OP1006,1906.6,5.45,9,21.5,Fastened,No,No,Dry Ground,No,No,Trenching,Sunny,Intermediate,3,48.7,49.5
2025-05-04 04:00:00,EXC004,OP1002,1367.8,5.09,7,38.7,Fastened,No,No,Low Visibility,No,No,Trenching,Cloudy,Beginner,5,50.7,63.7
2025-05-04 04:30:00,EXC005,OP1003,4229.2,6.09,12,15.4,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,7,63.6,70.0
2025-05-04 05:00:00,EXC003,OP1004,1907.2,7.04,13,29.4,Fastened,No,No,Normal,No,No,Material Loading,Sunny,Intermediate,3,27.4,37.9
2025-05-04 05:30:00,LOD002,OP1005,2672.8,6.42,9,27.7,Fastened,No,No,Normal,No,No,Trenching,Sunny,Expert,6,47.3,53.4
2025-05-04 06:00:00,LOD002,OP1009,2674.1,4.32,5,25.9,Unfastened,No,Yes,Normal,No,Yes,Demolition,Sunny,Expert,6,84.5,98.8
2025-05-04 06:30:00,EXC002,OP1004,2171.8,6.53,11,24.8,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Intermediate,4,32.3,26.9
2025-05-04 07:00:00,EXC004,OP1009,1369.3,5.28,9,9.8,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Intermediate,5,36.3,40.5
2025-05-04 07:30:00,EXC002,OP1010,2173.5,6.86,12,28.5,Fastened,No,No,Normal,No,No,Trenching,Sunny,Intermediate,4,51.6,61.6
2025-05-04 08:00:00,EXC002,OP1003,2176.0,7.41,12,48.1,Fastened,No,No,Dry Ground,No,No,Earth Excavation,Sunny,Intermediate,4,65.0,76.9
2025-05-04 08:30:00,EXC001,OP1008,1562.3,7.57,15,33.3,Fastened,No,No,Normal,No,No,Material Loading,Cloudy,Intermediate,2,30.0,28.4
2025-05-04 09:00:00,EXC005,OP1001,4229.9,3.98,4,30.3,Unfastened,Yes,Yes,Dry Ground,Yes,Yes,Trenching,Sunny,Intermediate,7,47.6,50.8
2025-05-04 09:30:00,EXC004,OP1009,1370.5,6.97,15,18.2,Fastened,Yes,Yes,Normal,No,Yes,Earth Excavation,Windy,Intermediate,5,71.0,86.1
2025-05-04 10:00:00,EXC001,OP1009,1563.3,5.58,6,52.7,Fastened,Yes,Yes,Slippery,No,Yes,Demolition,Rainy,Intermediate,2,109.8,129.1
2025-05-04 10:30:00,EXC002,OP1010,2176.2,7.1,12,38.3,Fastened,No,No,Normal,No,No,Trenching,Cloudy,Expert,4,38.7,45.2
2025-05-04 11:00:00,LOD002,OP1002,2674.5,7.65,12,49.8,Fastened,Yes,Yes,Wet Ground,No,Yes,Earth Excavation,Rainy,Expert,6,66.3,78.8
2025-05-04 11:30:00,EXC002,OP1004,2178.0,6.19,11,14.2,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,4,61.3,66.5
2025-05-04 12:00:00,EXC001,OP1008,1565.6,5.15,6,36.4,Fastened,No,No,Normal,No,No,Trenching,Sunny,Intermediate,2,44.4,51.4
2025-05-04 12:30:00,EXC004,OP1007,1371.9,5.47,8,27.1,Unfastened,Yes,Yes,Dusty,No,Yes,Demolition,Windy,Intermediate,5,106.1,124.5
2025-05-04 13:00:00,LOD002,OP1001,2675.9,6.11,13,10.5,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Beginner,6,69.1,78.4
2025-05-04 13:30:00,EXC002,OP1005,2178.8,4.18,4,28.8,Unfastened,Yes,Yes,Strong Wind,No,Yes,Trenching,Windy,Intermediate,4,53.0,67.7
2025-05-04 14:00:00,EXC005,OP1007,4231.9,7.5,13,17.0,Fastened,No,No,Low Visibility,No,No,Material Loading,Cloudy,Intermediate,7,26.2,27.4
2025-05-04 14:30:00,LOD001,OP1004,3045.5,5.97,9,35.5,Fastened,No,No,Dry Ground,No,No,Trenching,Sunny,Beginner,4,51.6,54.9
2025-05-04 15:00:00,EXC002,OP1001,2180.3,5.13,10,11.2,Fastened,No,No,Normal,No,No,Earth Excavation,Cloudy,Intermediate,4,64.4,62.4
2025-05-04 15:30:00,LOD001,OP1009,3046.2,5.81,9,23.7,Fastened,No,No,Low Visibility,No,No,Earth Excavation,Cloudy,Intermediate,4,60.3,65.5
2025-05-04 16:00:00,EXC003,OP1005,1907.6,6.0,8,27.0,Fastened,Yes,Yes,Dry Ground,No,Yes,Trenching,Sunny,Beginner,3,59.9,65.3
