Task_ID,Task_Type,Weather,Operator_Skill,Machine_Age_yrs,Estimated_Time_min,Actual_Time_min
T0104,Material Loading,Sunny,Expert,9,32.3,30.4
T0105,Demolition,Sunny,Beginner,7,97.7,114.0
T0106,Earth Excavation,Sunny,Intermediate,6,63.1,68.5
T0107,Trenching,Cloudy,Intermediate,2,43.4,46.6
T0108,Grading,Sunny,Beginner,3,40.7,49.5
T0109,Earth Excavation,Rainy,Intermediate,1,56.9,75.5
T0110,Earth Excavation,Rainy,Expert,10,62.6,72.8
T0111,Trenching,Cloudy,Expert,5,49.0,47.3
T0112,Earth Excavation,Sunny,Intermediate,9,64.7,74.8
T0113,Demolition,Cloudy,Expert,6,93.8,92.8
T0114,Grading,Sunny,Intermediate,5,36.4,47.2
T0115,Material Loading,Sunny,Intermediate,3,27.9,34.3
T0116,Demolition,Cloudy,Expert,5,90.5,92.7
T0117,Grading,Cloudy,Intermediate,8,43.0,47.9
T0118,Earth Excavation,Sunny,Expert,2,57.0,56.1
T0119,Demolition,Sunny,Intermediate,5,97.4,102.6
T0120,Material Loading,Sunny,Intermediate,6,33.9,43.1
T0121,Grading,Sunny,Beginner,10,38.2,48.0
T0122,Demolition,Sunny,Beginner,8,88.0,94.2
T0123,Trenching,Sunny,Beginner,8,43.4,62.4
T0124,Earth Excavation,Rainy,Expert,5,61.4,68.6
T0125,Earth Excavation,Cloudy,Expert,9,63.1,69.6
T0126,Trenching,Rainy,Expert,4,47.4,58.7
T0127,Grading,Cloudy,Intermediate,9,44.7,57.4
T0128,Demolition,Sunny,Intermediate,7,95.1,111.5
T0129,Earth Excavation,Windy,Intermediate,6,62.6,79.8
T0130,Material Loading,Cloudy,Intermediate,4,35.7,48.0
T0131,Trenching,Cloudy,Intermediate,2,46.5,52.1
T0132,Earth Excavation,Cloudy,Expert,8,68.8,70.9
T0133,Earth Excavation,Windy,Intermediate,6,61.0,78.4
T0134,Trenching,Rainy,Beginner,3,43.1,63.7
T0135,Demolition,Sunny,Beginner,7,87.5,101.9
T0136,Trenching,Rainy,Beginner,10,49.7,74.6
T0137,Material Loading,Cloudy,Intermediate,7,29.8,40.7
T0138,Grading,Cloudy,Expert,6,34.3,41.3
T0139,Trenching,Rainy,Intermediate,2,49.1,65.1
T0140,Demolition,Sunny,Expert,8,88.8,83.8
T0141,Demolition,Sunny,Intermediate,1,90.8,101.4
T0142,Earth Excavation,Windy,Intermediate,1,60.3,66.4
T0143,Material Loading,Rainy,Beginner,6,33.3,61.6
T0144,Trenching,Rainy,Expert,5,51.7,64.4
T0145,Trenching,Sunny,Expert,9,47.0,55.2
T0146,Earth Excavation,Sunny,Intermediate,7,67.7,74.3
T0147,Material Loading,Windy,Intermediate,2,25.7,37.2
T0148,Material Loading,Cloudy,Intermediate,7,35.5,39.3
T0149,Earth Excavation,Cloudy,Intermediate,3,65.9,75.0
T0150,Earth Excavation,Rainy,Expert,1,48.3,59.4
T0151,Demolition,Cloudy,Intermediate,8,93.9,100.8
T0152,Earth Excavation,Sunny,Intermediate,3,61.1,65.0
T0153,Earth Excavation,Cloudy,Beginner,8,64.2,75.3
T0154,Material Loading,Sunny,Beginner,7,38.6,51.6
T0155,Demolition,Sunny,Intermediate,2,88.7,88.8
T0156,Earth Excavation,Cloudy,Beginner,1,56.9,65.4
T0157,Material Loading,Windy,Expert,7,33.7,37.8
T0158,Grading,Sunny,Expert,1,38.9,34.6
T0159,Earth Excavation,Cloudy,Beginner,6,64.7,80.2
T0160,Grading,Sunny,Expert,10,40.1,49.6
T0161,Trenching,Sunny,Intermediate,10,49.3,52.2
T0162,Material Loading,Sunny,Intermediate,8,28.0,37.7
T0163,Material Loading,Sunny,Intermediate,7,35.3,34.2
T0164,Material Loading,Rainy,Intermediate,4,34.1,54.3
T0165,Earth Excavation,Sunny,Intermediate,1,58.4,55.4
T0166,Grading,Rainy,Intermediate,1,34.1,49.5
T0167,Trenching,Windy,Intermediate,4,43.9,50.8
T0168,Earth Excavation,Sunny,Expert,5,65.1,58.4
T0169,Earth Excavation,Cloudy,Beginner,7,62.4,75.8
T0170,Material Loading,Sunny,Beginner,4,31.6,41.6
T0171,Material Loading,Cloudy,Beginner,10,36.9,48.1
T0172,Earth Excavation,Sunny,Intermediate,1,61.5,64.0
T0173,Material Loading,Sunny,Beginner,10,36.7,40.4
T0174,Earth Excavation,Sunny,Expert,7,64.0,57.1
T0175,Material Loading,Sunny,Intermediate,2,31.6,34.8
T0176,Earth Excavation,Sunny,Intermediate,2,61.6,67.2
T0177,Grading,Cloudy,Intermediate,8,40.4,45.7
T0178,Trenching,Windy,Intermediate,10,51.5,65.1
T0179,Demolition,Cloudy,Intermediate,10,91.3,100.1
T0180,Earth Excavation,Cloudy,Intermediate,10,63.2,74.4
T0181,Trenching,Sunny,Intermediate,5,46.9,49.2
T0182,Earth Excavation,Sunny,Intermediate,10,66.4,76.2
T0183,Demolition,Sunny,Beginner,2,95.8,105.3
T0184,Demolition,Sunny,Expert,5,90.1,90.4
T0185,Earth Excavation,Rainy,Beginner,8,66.6,99.3
T0186,Material Loading,Rainy,Expert,6,31.3,43.9
T0187,Grading,Sunny,Expert,3,40.6,42.5
T0188,Material Loading,Sunny,Intermediate,8,39.7,48.1
T0189,Material Loading,Cloudy,Beginner,9,29.3,44.5
T0190,Earth Excavation,Cloudy,Beginner,5,61.5,72.5
T0191,Earth Excavation,Sunny,Intermediate,2,53.9,57.5
T0192,Demolition,Windy,Intermediate,2,85.9,94.5
T0193,Demolition,Windy,Expert,7,88.6,97.2
T0194,Material Loading,Sunny,Expert,1,32.4,29.3
T0195,Trenching,Sunny,Intermediate,10,51.3,56.4
T0196,Trenching,Rainy,Intermediate,2,48.4,72.4
T0197,Grading,Windy,Intermediate,10,41.8,59.1
T0198,Demolition,Cloudy,Expert,4,93.5,96.7
T0199,Demolition,Sunny,Intermediate,1,90.8,94.6
T0200,Grading,Sunny,Beginner,4,36.6,48.3
T0201,Material Loading,Rainy,Expert,10,38.1,58.3
T0202,Earth Excavation,Rainy,Intermediate,5,62.5,73.8
T0203,Earth Excavation,Sunny,Expert,9,66.1,62.4
T0204,Demolition,Cloudy,Intermediate,1,83.5,89.0
T0205,Material Loading,Cloudy,Beginner,5,29.0,44.5
T0206,Earth Excavation,Cloudy,Expert,2,63.9,64.3
T0207,Earth Excavation,Cloudy,Intermediate,9,62.5,67.7
T0208,Material Loading,Cloudy,Intermediate,6,28.8,37.6
T0209,Earth Excavation,Sunny,Intermediate,2,62.9,72.2
T0210,Earth Excavation,Rainy,Beginner,3,61.5,82.7
T0211,Material Loading,Sunny,Intermediate,8,32.8,39.1
T0212,Grading,Cloudy,Beginner,1,40.0,53.1
T0213,Material Loading,Sunny,Intermediate,3,35.5,40.4
T0214,Earth Excavation,Cloudy,Intermediate,10,64.4,79.6
T0215,Grading,Sunny,Expert,1,37.7,38.1
T0216,Earth Excavation,Sunny,Expert,8,57.3,62.2
T0217,Trenching,Sunny,Intermediate,1,48.8,44.9
T0218,Grading,Sunny,Intermediate,5,34.2,32.7
T0219,Material Loading,Cloudy,Intermediate,4,27.6,40.2
T0220,Grading,Cloudy,Intermediate,7,33.1,40.4
T0221,Material Loading,Rainy,Expert,5,26.9,31.8
T0222,Material Loading,Sunny,Expert,8,37.2,36.4
T0223,Earth Excavation,Sunny,Intermediate,1,62.4,64.3
T0224,Trenching,Sunny,Intermediate,5,45.2,53.0
T0225,Earth Excavation,Sunny,Beginner,4,64.6,77.0
T0226,Earth Excavation,Windy,Intermediate,3,59.7,72.3
T0227,Demolition,Sunny,Beginner,5,93.5,106.8
T0228,Trenching,Sunny,Expert,10,48.6,52.9
T0229,Demolition,Sunny,Expert,3,91.1,87.4
T0230,Material Loading,Sunny,Intermediate,8,31.3,39.6
T0231,Grading,Rainy,Intermediate,3,34.2,51.4
T0232,Material Loading,Rainy,Expert,1,32.1,42.3
T0233,Material Loading,Sunny,Intermediate,9,36.6,42.2
T0234,Material Loading,Sunny,Intermediate,9,33.3,34.0
T0235,Earth Excavation,Sunny,Intermediate,6,58.4,65.2
T0236,Grading,Sunny,Expert,10,47.4,53.1
T0237,Trenching,Sunny,Intermediate,1,45.6,50.9
T0238,Earth Excavation,Windy,Intermediate,8,64.9,75.9
T0239,Material Loading,Rainy,Expert,2,27.2,40.9
T0240,Earth Excavation,Rainy,Expert,9,68.1,84.3
T0241,Demolition,Sunny,Expert,8,98.1,106.5
T0242,Demolition,Sunny,Beginner,3,86.4,103.3
T0243,Demolition,Rainy,Intermediate,5,92.2,104.7
T0244,Trenching,Cloudy,Expert,9,49.0,47.4
T0245,Earth Excavation,Cloudy,Expert,1,67.7,66.8
T0246,Demolition,Sunny,Intermediate,9,98.8,113.0
T0247,Trenching,Rainy,Intermediate,4,42.6,55.6
T0248,Demolition,Sunny,Expert,4,89.8,89.3
T0249,Demolition,Cloudy,Expert,4,89.3,90.7
T0250,Demolition,Cloudy,Beginner,10,96.1,115.7
T0251,Trenching,Rainy,Intermediate,9,54.2,80.5
T0252,Trenching,Sunny,Intermediate,6,48.3,64.3
T0253,Demolition,Rainy,Intermediate,8,95.5,117.1
T0254,Trenching,Sunny,Beginner,4,45.0,61.4
T0255,Earth Excavation,Sunny,Intermediate,3,63.0,60.4
T0256,Material Loading,Sunny,Intermediate,1,29.1,36.9
T0257,Demolition,Cloudy,Intermediate,10,90.1,99.1
T0258,Grading,Sunny,Intermediate,7,39.8,47.5
T0259,Material Loading,Sunny,Expert,4,32.0,24.7
T0260,Earth Excavation,Windy,Intermediate,8,60.7,72.5
T0261,Material Loading,Sunny,Beginner,3,36.4,57.4
T0262,Demolition,Rainy,Expert,1,88.2,98.5
T0263,Earth Excavation,Sunny,Intermediate,5,64.3,61.1
T0264,Material Loading,Sunny,Expert,2,29.9,30.3
T0265,Demolition,Cloudy,Expert,3,96.1,92.0
T0266,Grading,Sunny,Intermediate,6,37.3,45.4
T0267,Grading,Rainy,Expert,3,31.5,37.3
T0268,Grading,Rainy,Beginner,3,38.9,69.6
T0269,Trenching,Rainy,Intermediate,6,52.6,70.5
T0270,Trenching,Cloudy,Intermediate,5,46.2,53.9
T0271,Grading,Sunny,Intermediate,10,42.0,53.4
T0272,Grading,Sunny,Expert,9,39.9,42.5
T0273,Demolition,Cloudy,Beginner,1,89.4,101.4
T0274,Demolition,Rainy,Intermediate,3,94.0,114.3
T0275,Material Loading,Cloudy,Intermediate,3,29.1,34.2
T0276,Material Loading,Cloudy,Intermediate,6,33.1,39.2
T0277,Grading,Cloudy,Intermediate,8,39.8,45.5
T0278,Material Loading,Rainy,Intermediate,3,32.2,48.5
T0279,Grading,Sunny,Expert,3,34.2,26.6
T0280,Grading,Cloudy,Intermediate,6,44.2,51.8
T0281,Demolition,Rainy,Expert,8,97.8,107.2
T0282,Trenching,Sunny,Intermediate,6,51.0,54.5
T0283,Trenching,Cloudy,Expert,10,54.3,65.9
T0284,Earth Excavation,Windy,Expert,3,61.7,63.1
T0285,Material Loading,Rainy,Intermediate,4,30.9,46.9
T0286,Earth Excavation,Sunny,Intermediate,1,57.2,61.0
T0287,Material Loading,Sunny,Expert,8,31.9,34.0
T0288,Material Loading,Cloudy,Intermediate,4,29.0,39.3
T0289,Trenching,Windy,Expert,6,46.4,50.2
T0290,Material Loading,Sunny,Intermediate,3,32.3,34.4
T0291,Earth Excavation,Sunny,Beginner,6,65.7,80.0
T0292,Earth Excavation,Cloudy,Intermediate,9,67.2,71.6
T0293,Grading,Sunny,Expert,9,36.0,36.8
T0294,Trenching,Rainy,Intermediate,10,52.1,74.4
T0295,Earth Excavation,Windy,Expert,3,64.9,70.9
T0296,Material Loading,Sunny,Expert,3,30.7,30.4
T0297,Grading,Cloudy,Intermediate,4,40.6,47.5
T0298,Earth Excavation,Sunny,Beginner,7,66.1,81.9
T0299,Material Loading,Sunny,Expert,3,27.7,27.7
T0300,Earth Excavation,Cloudy,Intermediate,10,71.6,75.8
T0301,Earth Excavation,Sunny,Expert,8,61.9,70.6
T0302,Material Loading,Windy,Intermediate,8,36.9,50.8
T0303,Material Loading,Rainy,Intermediate,6,35.8,53.7
T0304,Material Loading,Sunny,Expert,4,28.3,25.9
T0305,Grading,Sunny,Intermediate,5,38.0,47.4
T0306,Demolition,Sunny,Intermediate,2,93.7,94.7
T0307,Material Loading,Sunny,Intermediate,6,29.3,30.9
T0308,Trenching,Sunny,Intermediate,3,46.8,49.7
T0309,Grading,Sunny,Intermediate,6,41.0,44.6
T0310,Earth Excavation,Rainy,Expert,5,65.7,82.8
T0311,Trenching,Cloudy,Intermediate,2,44.8,53.9
T0312,Earth Excavation,Cloudy,Intermediate,5,67.1,76.4
T0313,Earth Excavation,Cloudy,Intermediate,5,66.4,68.9
T0314,Demolition,Sunny,Intermediate,9,95.2,102.9
T0315,Grading,Sunny,Intermediate,8,37.0,47.7
T0316,Grading,Cloudy,Expert,7,35.0,33.2
T0317,Trenching,Rainy,Expert,3,47.6,51.8
T0318,Earth Excavation,Sunny,Intermediate,10,69.4,75.3
T0319,Earth Excavation,Cloudy,Intermediate,4,61.6,66.5
T0320,Earth Excavation,Cloudy,Beginner,6,60.4,70.3
T0321,Material Loading,Rainy,Intermediate,3,34.0,48.0
T0322,Grading,Sunny,Intermediate,9,40.0,40.6
T0323,Material Loading,Cloudy,Intermediate,8,35.5,49.6
T0324,Earth Excavation,Rainy,Intermediate,6,61.4,85.7
T0325,Demolition,Cloudy,Beginner,4,90.9,103.7
T0326,Grading,Cloudy,Intermediate,7,36.9,38.9
T0327,Material Loading,Cloudy,Expert,3,33.0,28.8
T0328,Material Loading,Rainy,Intermediate,10,34.0,47.0
T0329,Trenching,Sunny,Intermediate,8,50.8,54.2
T0330,Earth Excavation,Cloudy,Beginner,1,58.6,75.2
T0331,Trenching,Rainy,Beginner,3,48.0,71.1
T0332,Grading,Cloudy,Expert,5,39.6,42.7
T0333,Earth Excavation,Sunny,Intermediate,5,63.5,71.1
T0334,Earth Excavation,Sunny,Intermediate,10,67.8,76.6
T0335,Earth Excavation,Windy,Intermediate,2,59.6,81.5
T0336,Earth Excavation,Cloudy,Expert,10,67.1,69.5
T0337,Demolition,Windy,Intermediate,8,94.7,106.9
T0338,Grading,Cloudy,Intermediate,5,35.1,45.9
T0339,Material Loading,Rainy,Intermediate,7,27.8,42.7
T0340,Earth Excavation,Cloudy,Intermediate,7,58.4,71.2
T0341,Material Loading,Windy,Intermediate,5,25.9,44.6
T0342,Material Loading,Rainy,Intermediate,8,35.3,53.6
T0343,Earth Excavation,Cloudy,Intermediate,9,63.5,76.1
T0344,Trenching,Sunny,Expert,4,47.3,49.3
T0345,Trenching,Rainy,Intermediate,4,46.5,64.7
T0346,Material Loading,Cloudy,Beginner,8,35.7,53.0
T0347,Material Loading,Sunny,Intermediate,1,32.3,34.2
T0348,Earth Excavation,Sunny,Expert,4,62.1,61.9
T0349,Trenching,Sunny,Intermediate,6,48.3,48.0
T0350,Material Loading,Sunny,Expert,4,32.4,30.2
T0351,Material Loading,Sunny,Beginner,6,37.2,52.4
T0352,Demolition,Sunny,Intermediate,5,86.5,86.0
T0353,Material Loading,Windy,Beginner,9,32.5,56.4
T0354,Earth Excavation,Rainy,Intermediate,10,67.6,87.0
T0355,Earth Excavation,Sunny,Expert,9,67.8,67.8
T0356,Material Loading,Sunny,Expert,4,33.3,36.8
T0357,Earth Excavation,Cloudy,Intermediate,4,61.4,72.5
T0358,Material Loading,Sunny,Intermediate,8,39.6,45.2
T0359,Demolition,Cloudy,Expert,10,95.5,99.9
T0360,Material Loading,Cloudy,Intermediate,4,32.1,45.0
T0361,Trenching,Cloudy,Beginner,2,50.0,60.7
T0362,Material Loading,Sunny,Intermediate,2,32.4,35.5
T0363,Trenching,Cloudy,Intermediate,1,48.3,52.2
T0364,Material Loading,Sunny,Intermediate,5,35.7,49.5
T0365,Demolition,Windy,Intermediate,6,91.9,107.0
T0366,Trenching,Cloudy,Intermediate,9,54.8,66.4
T0367,Demolition,Sunny,Intermediate,5,85.1,90.9
T0368,Demolition,Sunny,Intermediate,6,87.1,93.1
T0369,Earth Excavation,Sunny,Intermediate,6,61.0,68.8
T0370,Earth Excavation,Cloudy,Expert,3,60.2,59.0
T0371,Earth Excavation,Sunny,Intermediate,4,63.1,66.1
T0372,Earth Excavation,Rainy,Intermediate,1,58.4,70.4
T0373,Earth Excavation,Sunny,Expert,4,62.0,60.4
T0374,Grading,Cloudy,Expert,1,34.9,34.5
T0375,Earth Excavation,Cloudy,Intermediate,5,68.5,79.2
T0376,Trenching,Cloudy,Beginner,8,46.6,65.6
T0377,Grading,Cloudy,Expert,8,34.0,39.9
T0378,Earth Excavation,Sunny,Expert,5,65.9,72.8
T0379,Grading,Sunny,Expert,10,37.9,40.4
T0380,Trenching,Cloudy,Expert,2,45.7,48.3
T0381,Earth Excavation,Sunny,Intermediate,6,61.1,72.0
T0382,Grading,Sunny,Intermediate,1,37.7,41.0
T0383,Material Loading,Sunny,Beginner,7,29.4,39.2
T0384,Demolition,Sunny,Intermediate,4,83.6,85.0
T0385,Grading,Sunny,Intermediate,5,41.4,50.4
T0386,Grading,Cloudy,Intermediate,6,38.7,44.2
T0387,Trenching,Sunny,Intermediate,1,48.7,51.0
T0388,Earth Excavation,Rainy,Expert,9,68.3,86.4
T0389,Grading,Sunny,Intermediate,10,37.3,45.2
T0390,Grading,Cloudy,Intermediate,4,37.2,44.4
T0391,Demolition,Sunny,Beginner,8,95.5,113.2
T0392,Trenching,Windy,Intermediate,5,47.2,62.2
T0393,Trenching,Windy,Expert,8,48.1,53.7
T0394,Grading,Sunny,Intermediate,1,34.9,39.5
T0395,Trenching,Windy,Expert,8,52.3,60.3
T0396,Demolition,Windy,Intermediate,4,91.2,108.5
T0397,Demolition,Cloudy,Intermediate,2,92.8,104.6
T0398,Trenching,Cloudy,Intermediate,6,49.0,51.6
T0399,Grading,Sunny,Intermediate,2,33.1,40.0
T0400,Grading,Rainy,Expert,5,38.4,57.2
T0401,Earth Excavation,Sunny,Intermediate,2,56.4,58.6
T0402,Demolition,Sunny,Expert,3,92.7,95.7
T0403,Material Loading,Windy,Intermediate,6,35.7,58.6
T0404,Grading,Sunny,Expert,1,38.9,33.0
T0405,Trenching,Cloudy,Beginner,6,45.1,55.9
T0406,Demolition,Cloudy,Expert,3,89.9,95.5
T0407,Trenching,Cloudy,Intermediate,7,49.4,56.9
T0408,Earth Excavation,Windy,Intermediate,2,59.6,72.8
T0409,Demolition,Sunny,Intermediate,6,87.2,97.1
T0410,Earth Excavation,Sunny,Expert,8,62.4,66.9
T0411,Trenching,Sunny,Beginner,1,46.3,62.9
T0412,Demolition,Sunny,Intermediate,9,97.7,102.7
T0413,Demolition,Sunny,Expert,5,97.6,99.4
T0414,Material Loading,Sunny,Intermediate,5,32.9,34.8
T0415,Material Loading,Cloudy,Intermediate,5,34.2,52.5
T0416,Trenching,Rainy,Intermediate,6,50.9,69.7
T0417,Trenching,Sunny,Intermediate,2,39.8,41.2
T0418,Trenching,Cloudy,Expert,6,44.9,49.2
T0419,Material Loading,Sunny,Expert,4,32.3,25.9
T0420,Grading,Sunny,Intermediate,8,43.7,51.2
T0421,Grading,Cloudy,Expert,9,41.4,49.3
T0422,Grading,Rainy,Intermediate,9,40.5,58.3
T0423,Earth Excavation,Cloudy,Beginner,8,63.3,77.5
T0424,Material Loading,Sunny,Intermediate,3,32.8,38.9
T0425,Earth Excavation,Cloudy,Intermediate,10,63.2,73.2
T0426,Material Loading,Rainy,Intermediate,4,29.7,48.8
T0427,Trenching,Rainy,Expert,1,43.4,57.4
T0428,Demolition,Rainy,Expert,9,98.5,110.5
T0429,Trenching,Cloudy,Intermediate,5,45.0,55.8
T0430,Earth Excavation,Rainy,Intermediate,6,61.8,76.0
T0431,Earth Excavation,Rainy,Expert,3,62.9,70.5
T0432,Grading,Windy,Expert,10,37.4,45.8
T0433,Material Loading,Cloudy,Expert,8,34.7,36.7
T0434,Earth Excavation,Sunny,Intermediate,7,64.2,67.6
T0435,Earth Excavation,Cloudy,Expert,1,58.6,55.3
T0436,Grading,Sunny,Intermediate,10,39.2,53.6
T0437,Earth Excavation,Sunny,Intermediate,5,59.7,63.8
T0438,Grading,Rainy,Beginner,10,44.1,71.7
T0439,Grading,Windy,Beginner,9,40.3,65.0
T0440,Earth Excavation,Windy,Intermediate,6,59.9,75.7
T0441,Earth Excavation,Sunny,Intermediate,8,64.4,75.0
T0442,Demolition,Rainy,Beginner,10,95.5,123.3
T0443,Trenching,Sunny,Expert,1,38.8,38.1
T0444,Trenching,Windy,Beginner,10,54.0,77.1
T0445,Grading,Windy,Intermediate,7,35.5,47.0
T0446,Demolition,Cloudy,Intermediate,3,97.8,100.8
T0447,Demolition,Cloudy,Expert,9,96.9,101.6
T0448,Grading,Cloudy,Intermediate,6,34.6,37.0
T0449,Trenching,Rainy,Beginner,5,46.6,69.6
T0450,Earth Excavation,Sunny,Intermediate,8,66.8,67.5
T0451,Grading,Rainy,Expert,8,38.3,56.6
T0452,Material Loading,Cloudy,Expert,3,35.0,39.2
T0453,Trenching,Cloudy,Intermediate,2,44.9,49.2
T0454,Demolition,Sunny,Intermediate,2,90.8,97.4
T0455,Earth Excavation,Windy,Expert,5,65.4,73.0
T0456,Material Loading,Sunny,Intermediate,10,36.8,40.1
T0457,Earth Excavation,Rainy,Intermediate,7,60.7,66.4
T0458,Material Loading,Cloudy,Intermediate,8,35.3,46.1
